Prompt Number,Model Name,Gravity (Score),Gravity (Explanation),Support and Balance (Score),Support and Balance (Explanation),Containment (Score),Containment (Explanation),Occlusion & Perspective (Score),Occlusion & Perspective (Explanation),Deformation & Materials (Score),Deformation & Materials (Explanation),Causal Logic (Score),Causal Logic (Explanation),Spatial Relationship (Score),Spatial Relationship (Explanation),Object Count (Score),Object Count (Explanation),Object Identity (Score),Object Identity (Explanation),Size & Proportion (Score),Size & Proportion (Explanation),Consistency (Score),Consistency (Explanation),"Shadows, Lighting, Detail (Score)","Shadows, Lighting, Detail (Explanation)",Entity Interactions (Score),Entity Interactions (Explanation),Literal Interpretation (Score),Literal Interpretation (Explanation),Conceptual Understanding (Score),Conceptual Understanding (Explanation),Total,Maximum,Score (%)
4,GPT-4o,2,The liquid is spilling downward and pooling on the surface as expected under the force of gravity.,2,The cup and saucer are realistically supported by the tabletop and are in a stable resting position.,0,"The liquid is shown spilling out of a cup that is positioned to contain it, which is an impossible physical state. ",2,"The perspective is realistic, with the cup and saucer partially occluding the table surface.",2,"The liquid is realistically pooling and spreading on the surface, consistent with the properties of a fluid.",2,"The image logically shows the effect (spillage) of the cup being turned over, which is a consistent cause-effect relationship.",2,"The cup, saucer, and spilled liquid are all in a consistent and logical spatial arrangement on the table.",2,"The image accurately depicts a single cup and saucer, as implied by the prompt.",2,"The objects are clearly and correctly identifiable as a cup, saucer, and tea.",2,"The relative sizes of the cup, saucer, and the spilled liquid are realistic.",2,"All elements of the image are stylistically and physically coherent, forming a realistic scene.",2,"The lighting and shadows are realistic, and the detailing on the liquid and surfaces is accurate. ",2,The spilled tea is interacting realistically with the saucer and tabletop by pooling and spreading. ,0,"The prompt asks for a cup that is ""turned upside down."" However, the cup in the image is on its side, not fully inverted. ",2,"The image successfully captures the implied concept of a spilled cup of tea, which is the logical consequence of it being turned over.",26,30,86.6666666666667
4,Gemini 2.5 Flash,2,The liquid residue is dripping downwards on the cup and pooling on the table as expected under gravity.,2,The cup is realistically supported by the tabletop and is in a stable resting position.,2,"The prompt implies a scenario where the tea has spilled, and the remaining liquid is plausibly contained.",2,"The perspective is realistic, and the cup properly occludes the parts of the table surface behind it.",2,"The liquid drips and pooling are accurately depicted, consistent with the properties of a fluid. The steam is also shown rising from the liquid.",2,"The image logically shows the aftermath of a cup being turned upside down, with a small amount of liquid remaining and dripping.",2,The cup and the spilled liquid are in a consistent and logical spatial arrangement on the table.,2,"The image accurately depicts a single cup, as implied by the prompt.",2,The objects are clearly and correctly identifiable as a cup and liquid.,2,"The proportions of the cup, liquid, and table are realistic.",2,"The entire scene is stylistically and physically coherent, with all elements fitting together realistically.",2,"The image has realistic lighting, shadows, and fine details on the cup and liquid. The steam is also a realistic detail for a hot drink.",2,"The liquid is shown dripping down the cup and pooling on the table, which is a clear and plausible interaction.",2,"The image literally shows a cup that is turned completely upside down, fulfilling the prompt's request.",2,The image fully captures the conceptual understanding of a cup of hot tea being turned upside down by showing the aftermath of spillage and rising steam.,30,30,100
4,SD3 Med,0,"The tea remains inside the cup despite the cup being tilted on its side, which violates the principle of gravity.",1,"The cup is shown on its side, which is a plausible position, but the tea inside remains still, which is physically impossible.",0,"The liquid is contained within the cup even though the cup is on its side, which is an impossible physical state.",1,"The perspective is mostly realistic, but the unnatural behavior of the contained liquid makes the view seem flawed.",0,"The liquid inside the cup is depicted as a solid, not deforming or spilling as a fluid would, which is a clear violation of material properties.",0,"Turning the cup on its side should cause the liquid to spill, but the image contradicts this cause-and-effect relationship.",0,"The tea should be spilling out of the cup and interacting with the table, but it is illogically placed inside the cup.",2,The image accurately shows one cup of tea.,2,The objects are clearly a cup and tea.,2,"The relative sizes of the cup, tea, and table are realistic.",0,The physical impossibility of the liquid's behavior creates a disjointed and inconsistent scene.,2,The image has realistic detailing and shadows on the cup and table.,0,"There is no clear and physically plausible interaction between the liquid and the cup or the table, as it is unnaturally contained.",0,"The prompt asks for the cup to be ""turned upside down,"" but the cup is on its side, and the liquid is not behaving as it would in that position.",0,"The core concept of an ""upside down"" cup implies spillage, which the image fails to capture entirely.",10,30,33.3333333333333
5,GPT-4o,2,"The liquid has spilled from the cup and is pooling on the saucer and table, demonstrating full adherence to gravity.",2,"The cup is realistically resting on the saucer, which is itself stable on the tabletop.",0,"The liquid is shown spilling out of a cup that is positioned to contain it, which is physically impossible. The liquid should have spilled out entirely from a completely inverted cup.",2,"The view is realistic, with the cup and saucer correctly occluding parts of the table.",2,"The spilled liquid is realistically pooling and spreading, which is an accurate depiction of a fluid's behavior.",2,"The spillage of the liquid is the logical consequence of the cup being turned over, which is a consistent cause-and-effect relationship.",2,"The cup, saucer, and spilled liquid are all in a consistent and logical spatial arrangement on the table.",2,"The image accurately depicts a cup and saucer, as implied by the prompt.",2,"The objects are clearly a cup and saucer, and the spilled liquid is identifiable as tea.",2,"The relative sizes of the cup, saucer, and the spilled tea are realistic.",2,"All elements are stylistically and physically coherent, forming a consistent and realistic scene.",2,"The image has realistic lighting, shadows, and fine details, particularly on the spilt liquid.",2,"The spilled tea is shown interacting with the saucer and tabletop by pooling and spreading, a clear and plausible interaction.",2,"The image literally shows a cup ""flipped upside down on top of the saucer"" as requested by the prompt.",2,The image fully captures the conceptual understanding of a tipped-over cup by showing the resultant spillage and placement.,28,30,93.3333333333333
5,Gemini 2.5 Flash,2,"The spilled liquid is realistically pooling on the saucer and tabletop, adhering to gravity's effects.",2,"The cup is realistically supported by the saucer, which is stable on the tabletop.",0,"The image shows liquid spilling from a cup that is positioned to contain it, which is physically impossible. A fully inverted cup would not contain a significant amount of liquid in this manner.",2,"The perspective is realistic, with the cup and saucer properly occluding the background.",2,"The spilled liquid is realistically pooling and spreading, consistent with a fluid's behavior. The steam also rises from the liquid.",2,"The spillage of the liquid is the logical outcome of the cup being turned over, which is a consistent cause-and-effect relationship.",2,"The cup, saucer, and spilled liquid are in a consistent and logical spatial arrangement.",2,"The image accurately depicts a single cup and saucer, as implied by the prompt.",2,"The objects are clearly a cup and saucer, and the spilled liquid is identifiable as a hot drink.",2,"The relative sizes of the cup, saucer, and the spilled liquid are realistic.",2,"The scene is stylistically and physically coherent, with all elements fitting together consistently.",2,"The image has realistic lighting, shadows, and detailing, including steam rising from the liquid.",2,"The liquid is interacting realistically with the saucer and tabletop, pooling and spreading.",2,"The image literally shows a cup ""flipped upside down on top of the saucer.""",2,The image fully captures the conceptual understanding of a tipped-over cup by showing the resulting spillage and placement.,28,30,93.3333333333333
5,SD3 Med,0,"The tea remains inside the cup, defying gravity, even though the cup is on its side.",1,"The cup is on its side, which is a plausible position, but the tea inside remains still, which is physically impossible.",0,"The liquid is contained within the cup even though the cup is tilted and open, which is an impossible physical state. ",1,"The perspective is mostly realistic, but the unnatural behavior of the contained liquid makes the view seem flawed.",0,"The liquid is depicted as a solid, not deforming or spilling as a fluid would, which violates the properties of a liquid. ",0,"The image contradicts the expected cause-and-effect relationship, as turning a cup on its side should cause the liquid to spill.",0,"The tea should be spilling out of the cup and onto the saucer and table, but it is illogically placed inside the cup.",2,The image accurately shows one cup of tea and one saucer.,2,"The objects are clearly a cup and a saucer, and the liquid is identifiable as tea.",2,"The relative sizes of the cup, saucer, and tea are realistic.",0,The physical impossibility of the liquid's behavior creates a disjointed and inconsistent scene.,2,"The image has realistic detailing and shadows on the cup, saucer, and table.",0,"There is no clear and physically plausible interaction between the liquid and the cup or the saucer, as it is unnaturally contained.",0,"The prompt asks for the cup to be ""flipped upside down on top of the saucer,"" but the cup is on its side.",0,"The core concept of a ""flipped upside down"" cup implies spillage, which the image fails to capture.",10,30,33.3333333333333
6,Dalle3,2,The chairs are shown resting on the floor and supporting each other as expected under gravity.,0,"The stack is physically impossible; the chairs are not aligned symmetrically or properly balanced. Some legs are floating, and chairs are resting on other chairs in an unstable and unrealistic manner.",N/A,This criterion is not applicable to the prompt.,2,"The perspective is realistic, and the chairs correctly occlude each other based on their stacking arrangement.",2,The wooden chairs are rigid and show no incorrect deformation or material behavior.,0,The stacking of the chairs is physically inconsistent and contradicts the logical consequence of stacking objects with this design.,0,The chairs are illogically placed in a nonsensical stack with no consistent spatial relationship to each other.,1,"The image shows five chairs in the stack, which is accurate, but there appear to be additional chairs in the background, making the total count ambiguous.",2,The objects are clearly and correctly identifiable as wooden chairs.,2,The chairs are realistically proportioned in relation to each other and the room.,1,"The scene is visually consistent in terms of style and lighting, but the physically impossible stacking creates a minor inconsistency in realism.",2,"The image has realistic lighting, shadows, and detailing on the chairs and floor.",0,"The chairs are in contact, but their interaction is physically impossible and does not result in a plausible, stable structure.",2,The image literally shows five chairs that are stacked together.,1,"The image partially captures the concept of ""stacked chairs,"" but the nonsensical and physically impossible stacking fails to fully capture a realistic understanding of the concept.",17,28,60.7142857142857
6,GPT-4o,2,The chairs are resting on the floor and on each other as expected under gravity.,2,"The chairs are stacked in a stable and realistic manner, with each chair properly supported by the one below it.",N/A,This criterion is not applicable to the prompt.,2,"The perspective is realistic, with the chairs correctly occluding each other based on their stacking.",2,The chairs are rigid and show no incorrect deformation or material behavior.,2,The stacking arrangement is a logical consequence of stacking chairs of this design.,2,The chairs are placed in a logical stack with a clear spatial relationship to each other.,2,"The image shows exactly five chairs, which is an accurate count based on the prompt.",2,The objects are clearly and correctly identifiable as wooden chairs.,2,The chairs are realistically proportioned in relation to each other.,2,"The scene is visually consistent in terms of style, lighting, and physical arrangement.",2,"The image has realistic lighting and shadows, with accurate detailing on the chairs and floor.",2,The chairs are shown interacting realistically by being stacked on top of one another.,2,The image literally shows five chairs stacked together.,2,"The image fully captures the concept of ""stacked chairs"" in a realistic and plausible manner.",28,28,100
6,Gemini 2.5 Flash,2,The chairs are resting on each other and the floor as expected under the force of gravity.,0,"The chairs are stacked in a physically impossible way, with no stable support or balance for the objects. The furniture at the bottom appears to be an armchair, which could not realistically support a pile of chairs on top of it.",N/A,This criterion is not applicable to the prompt.,2,"The perspective is realistic, and the chairs properly occlude parts of the chairs behind them.",2,The chairs are rigid and show no incorrect deformation.,0,The stacking of the chairs is physically inconsistent and contradicts the logical consequences of stacking objects.,0,The chairs are illogically placed in a nonsensical stack with no consistent spatial relationship to each other.,1,"The image shows five chairs in the main stack, which is accurate, but there are additional chairs in the background, making the total count ambiguous.",1,"The chairs have a clear identity, but their varying styles and types contradict the expected coherence of a simple stack of chairs.",2,The chairs are realistically proportioned in relation to each other and their surroundings.,0,The scene is disjointed due to the physically impossible and inconsistent stacking of chairs.,2,"The image has realistic lighting and shadows, with accurate detailing on the chairs.",0,"The chairs are in contact with each other, but the interaction is not physically plausible, resulting in an impossible structure.",2,The image literally shows five chairs that are stacked together.,0,The image completely misunderstands the concept of a realistic stack of chairs by creating a physically impossible and unstable arrangement.,14,28,50
6,SD3 Med,2,The chairs are resting on the floor and on each other as expected under gravity.,2,"The chairs are stacked in a stable and realistic manner, with each chair properly supported by the one below it.",N/A,This criterion is not applicable to the prompt.,2,"The perspective is realistic, with the chairs correctly occluding each other based on their stacking.",2,The chairs are rigid and show no incorrect deformation or material behavior.,2,The stacking arrangement is a logical consequence of stacking chairs of this design.,2,The chairs are placed in a logical stack with a clear spatial relationship to each other.,1,The image shows four chairs that are neatly stacked. The prompt asked for five chairs.,2,The objects are clearly and correctly identifiable as chairs.,2,The chairs are realistically proportioned in relation to each other.,2,"The scene is visually consistent in terms of style, lighting, and physical arrangement.",2,"The image has realistic lighting and shadows, with accurate detailing on the chairs and floor.",2,The chairs are shown interacting realistically by being stacked on top of one another.,1,"The image shows chairs stacked together, but fails to meet the literal count of five.",2,"The image fully captures the concept of ""stacked chairs"" in a realistic and plausible manner.",26,28,92.8571428571429
7,GPT-4o,2,The chairs are resting on the floor and on each other as expected under gravity.,2,"The chairs are stacked in a stable and realistic manner, with each chair properly supported by the one below it.",N/A,This criterion is not applicable to the prompt.,2,"The perspective is realistic, with the chairs correctly occluding each other based on their stacking.",2,The chairs are rigid and show no incorrect deformation or material behavior.,2,The stacking arrangement is a logical consequence of stacking chairs of this design.,2,The chairs are placed in a logical stack with a clear spatial relationship to each other.,2,"The image shows exactly five chairs, which is an accurate count based on the prompt.",2,The objects are clearly and correctly identifiable as wooden chairs.,2,The chairs are realistically proportioned in relation to each other and the room.,2,"The scene is visually consistent in terms of style, lighting, and physical arrangement.",2,"The image has realistic lighting and shadows, with accurate detailing on the chairs and floor.",2,The chairs are shown interacting realistically by being stacked on top of one another.,2,The image literally shows five chairs stacked together.,2,"The image fully captures the concept of ""stacked chairs"" in a realistic and plausible manner.",28,28,100
7,Gemini 2.5 Flash,2,The chairs are resting on each other and the floor as expected under the force of gravity.,0,"The chairs are stacked in a physically impossible way, with no stable support or balance. Some chairs are hovering, and the stack is not aligned in a realistic manner for objects of this design.",N/A,This criterion is not applicable to the prompt.,2,"The perspective is realistic, and the chairs properly occlude each other based on their stacking",2,The chairs are rigid and show no incorrect deformation.,0,The stacking of the chairs is physically inconsistent and contradicts the logical consequences of stacking objects with this design.,0,"The chairs are illogically placed in a nonsensical stack, with no consistent spatial relationship to each other.",2,"The image shows exactly five chairs, which is an accurate count based on the prompt.",2,The objects are clearly and correctly identifiable as wooden chairs.,2,The chairs are realistically proportioned in relation to each other and the room.,0,The scene is disjointed due to the physically impossible and inconsistent stacking of the chairs.,2,"The image has realistic lighting, shadows, and detailing on the chairs and floor.",0,"The chairs are in contact, but their interaction is physically impossible and does not result in a plausible, stable structure.",2,The image literally shows five chairs that are stacked together.,0,The image completely misunderstands the concept of a realistic stack of chairs by creating a physically impossible arrangement.,16,28,57.1428571428571
7,SD3 Med,2,The chairs are resting on the floor and on each other as expected under gravity.,0,"The stacking is physically impossible and unstable. The chairs are not aligned symmetrically, and the structure is completely implausible.",N/A,This criterion is not applicable to the prompt.,1,The perspective is flawed as the chairs are stacked in a way that creates an impossible view of their relationship to each other.,2,The chairs are rigid and show no incorrect deformation.,0,The stacking of the chairs contradicts the logical consequences of stacking objects with this design.,0,The chairs are illogically placed in a nonsensical stack with no consistent spatial relationship to each other.,2,"The image shows exactly five chairs, which is an accurate count based on the prompt.",2,The objects are clearly and correctly identifiable as wooden chairs.,2,The chairs are realistically proportioned in relation to each other and the room.,0,The scene is disjointed due to the physically impossible and inconsistent stacking of the chairs.,2,"The image has realistic lighting, shadows, and detailing on the chairs and floor.",0,"The chairs are in contact, but the interaction is physically impossible and does not result in a plausible, stable structure.",2,The image literally shows five chairs that are stacked together.,0,The image completely misunderstands the concept of a realistic stack of chairs by creating a physically impossible arrangement.,15,28,53.5714285714286
8,Dalle3,2,"The person is depicted standing upright with realistic posture, adhering to the principles of gravity.",2,"The person's posture is stable, and their body is realistically supported",N/A,This criterion is not applicable to the prompt.,0,"The image presents a physically impossible view by showing two faces merged into one, which violates the principles of occlusion and perspective.",2,"The textures of the skin and hair are accurately depicted, even though the overall facial structure is surreal.",0,"The image contradicts the logical cause-effect relationship of a person standing behind another, as it shows a single, merged face instead of two separate entities.",0,"The spatial relationship of ""one person standing behind another"" is not depicted; instead, the two implied entities are illogically merged into one.",0,"The prompt asks for ""two people,"" but the image displays a single person with a composite face, resulting in an incorrect count.",2,The object is clearly and correctly identifiable as a human person.,2,The proportions of the person's features and body are realistic.,0,The surreal merging of the two faces creates a disjointed and inconsistent scene.,2,"The lighting and shadows are realistic, and fine details on the face and shirt are well-rendered",0,"There is no interaction between two separate entities, as the image depicts a single, merged person.",0,"The image does not show the literal visual elements of the prompt, as it fails to depict two separate people",1,"The image partially captures the concept of showing two faces when one would normally be occluded, but it does so through a surreal blend rather than two distinct people.",13,28,46.4285714285714
8,GPT-4o,2,The people are standing upright as expected under gravity.,2,The people are standing in a stable and realistic manner.,N/A,This criterion is not applicable to the prompt.,2,"The image realistically shows a taller person standing behind a shorter person, allowing both faces to be fully visible from the front without violating occlusion.",2,The materials of the people and their clothing are depicted realistically.,2,The scene is a logical and consistent arrangement of two people.,2,The spatial relationship of one person standing behind another is logical and consistent.,2,"The image shows two people, which is an accurate count based on the prompt.",2,The objects are clearly and correctly identifiable as people.,2,The relative proportions and sizes of the two people are realistic.,2,All elements of the image are stylistically and physically coherent and consistent.,2,"The image features realistic lighting, shadows, and fine details.",2,The positioning of the two people relative to each other is a clear and physically plausible interaction.,2,The image literally shows one person standing behind another with both faces fully visible from the front.,2,The image fully captures the conceptual challenge of the prompt by using a realistic and clever physical arrangement.,28,28,100
